module name;licenses;repository;licenseUrl;parents
caniuse-db@1.0.30000640;CC-BY-4.0;https://github.com/Fyrd/caniuse;https://github.com/Fyrd/caniuse/raw/master/LICENSE;access.ajxp_admin
caniuse-db@1.0.30000655;CC-BY-4.0;https://github.com/Fyrd/caniuse;https://github.com/Fyrd/caniuse/raw/master/LICENSE;gui.ajax
caseless@0.11.0;Apache-2.0;https://github.com/mikeal/caseless;https://github.com/mikeal/caseless/raw/master/LICENSE;fsevents:meta.exif
caseless@0.12.0;Apache-2.0;https://github.com/mikeal/caseless;https://github.com/mikeal/caseless/raw/master/LICENSE;gui.ajax
center-align@0.1.3;MIT;https://github.com/jonschlinkert/center-align;https://github.com/jonschlinkert/center-align/raw/master/LICENSE;cliui:yargs:defs:regenerator:babel-core:grunt-babel:uploader.plupload
chalk@0.4.0;MIT;https://github.com/sindresorhus/chalk;https://github.com/sindresorhus/chalk;grunt-hub:gui.ajax
chalk@1.1.1;MIT;https://github.com/chalk/chalk;https://github.com/chalk/chalk/raw/master/license;babel-core:grunt-babel:core.mailer
chalk@1.1.3;MIT;https://github.com/chalk/chalk;https://github.com/chalk/chalk/raw/master/license;babel-core:grunt-babel:uploader.plupload
change-emitter@0.1.6;MIT;https://github.com/acdlite/change-emitter;https://github.com/acdlite/change-emitter;gui.ajax
chart.js@1.1.1;MIT;https://github.com/nnnick/Chart.js;https://github.com/nnnick/Chart.js/raw/master/LICENSE.md;gui.ajax
chokidar@1.6.1;MIT;https://github.com/paulmillr/chokidar;https://github.com/paulmillr/chokidar;meta.exif
cipher-base@1.0.3;MIT;https://github.com/crypto-browserify/cipher-base;https://github.com/crypto-browserify/cipher-base;meta.exif
ckeditor@4.6.2;(GPL-2.0 OR LGPL-2.1 OR MPL-1.1);https://github.com/ckeditor/ckeditor-releases;https://github.com/ckeditor/ckeditor-releases/raw/master/LICENSE.md;editor.ckeditor
classnames@1.2.2;MIT;https://github.com/JedWatson/classnames;https://github.com/JedWatson/classnames/raw/master/LICENSE;material-ui-legacy:gui.ajax
classnames@2.1.5;MIT;https://github.com/JedWatson/classnames;https://github.com/JedWatson/classnames/raw/master/LICENSE;gui.ajax
classnames@2.2.5;MIT;https://github.com/JedWatson/classnames;https://github.com/JedWatson/classnames/raw/master/LICENSE;react-draggable:gui.ajax
clean-css@2.0.8;MIT;https://github.com/GoalSmashers/clean-css;https://github.com/GoalSmashers/clean-css/raw/master/LICENSE;gui.ajax
clean-css@3.4.25;MIT;https://github.com/jakubpawlowicz/clean-css;https://github.com/jakubpawlowicz/clean-css/raw/master/LICENSE;grunt-contrib-cssmin:gui.ajax
clipboard@1.6.1;MIT;https://github.com/zenorocha/clipboard.js;https://github.com/zenorocha/clipboard.js;gui.ajax
cliui@2.1.0;ISC;https://github.com/bcoe/cliui;https://github.com/bcoe/cliui/raw/master/LICENSE.txt;yargs:defs:regenerator:babel-core:grunt-babel:uploader.plupload
co@4.6.0;MIT;https://github.com/tj/co;https://github.com/tj/co/raw/master/LICENSE;gui.ajax
code-point-at@1.1.0;MIT;https://github.com/sindresorhus/code-point-at;https://github.com/sindresorhus/code-point-at/raw/master/license;fsevents:meta.exif
codemirror@5.24.2;MIT;https://github.com/codemirror/CodeMirror;https://github.com/codemirror/CodeMirror/raw/master/LICENSE;editor.codemirror
codemirror@5.25.0;MIT;https://github.com/codemirror/CodeMirror;https://github.com/codemirror/CodeMirror/raw/master/LICENSE;editor.etherpad
